Sortplan Id,L1 Office Name,L2 Office Name,Hub Level,Circel Name,From Pin,To Pin
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517004,517004
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517101,517102
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517112,517113
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517123,517132
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517152,517152
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517167,517167
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517001,517002
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517213,517214
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517234,517237
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517247,517247
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517257,517257
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517277,517277
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517280,517280
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517390,517391
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517401,517401
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517403,517403
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517408,517408
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517414,517419
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517421,517426
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517319,517319
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517325,517326
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517350,517352
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517370,517370
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517291,517291
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517297,517297
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517299,517299
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517305,517305
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517429,517429
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517432,517432
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517501,517502
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517172,517172
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517192,517194
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517503,517506
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517507,517510
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517520,517520
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517526,517526
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517536,517536
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517541,517541
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517551,517551
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517561,517561
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517569,517569
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517571,517571
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517581,517584
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517586,517592
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517599,517599
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517619,517620
1,Tirupathi NSH,Tirupathi NSH,L1,Andhra Pradesh Circle,517640,517646
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,520001,520015
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521001,521004
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521101,521102
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521104,521111
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521120,521122
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521125,521126
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521130,521139
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521148,521151
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521153,521153
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521156,521158
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521162,521165
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521170,521170
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521175,521175
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521178,521178
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521180,521185
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521190,521190
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521201,521202
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521207,521207
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521211,521215
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521225,521231
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521235,521235
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521241,521241
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521245,521247
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521250,521250
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521256,521256
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521260,521261
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521263,521263
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521286,521286
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521301,521301
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521311,521312
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521320,521333
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521340,521340
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521343,521345
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521356,521356
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521366,521366
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521369,521369
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521390,521390
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521401,521403
1,Vijayawada NSH,Vijayawada NSH,L1,Andhra Pradesh Circle,521456,521457
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530001,530005
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530007,530009
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530016,530018
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530020,530020
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530022,530022
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530024,530024
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530026,530029
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530031,530032
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530040,530041
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530043,530049
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530051,530052
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530053,530053
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531001,531002
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531011,531011
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531019,531036
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531055,531055
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531060,531061
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531075,531075
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531077,531077
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531081,531085
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531087,531087
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531105,531105
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531111,531111
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531113,531118
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531126,531127
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531133,531133
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531149,531149
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531151,531151
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531162,531163
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531173,531173
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,531219,531219
1,Tirupathi NSH,Nellore ICH,L2,Andhra Pradesh Circle,524001,524005
1,Tirupathi NSH,Anantapur ICH,L2,Andhra Pradesh Circle,515001,515006
1,Tirupathi NSH,Anantapur ICH,L2,Andhra Pradesh Circle,515101,515872
1,Tirupathi NSH,Cuddapah ICH,L2,Andhra Pradesh Circle,516001,516005
1,Tirupathi NSH,Cuddapah ICH,L2,Andhra Pradesh Circle,516101,516505
1,Tirupathi NSH,Kurnool ICH,L2,Andhra Pradesh Circle,518001,518009
1,Visakhapatnam NSH,Visakhapatnam NSH,L1,Andhra Pradesh Circle,530055,530059
1,Tirupathi NSH,Kurnool ICH,L2,Andhra Pradesh Circle,518010,518674
