Sortplan Id,L1 Office Name,L2 Office Name,Hub Level,Circel Name,From Pin,To Pin
25550,Kalaburagi Sorting  L1U,Raichur RMS  L2U,L2,Karnataka Circle,584101,584999
25550,2CBPO NSH,2CBPO NSH,L1,APS CIRCLE,900099,900099
25550,NSH Gurgaon,FARIDABAD  ICH,L2,Haryana Circle,121001,121015
25550,NSH Gurgaon,FARIDABAD  ICH,L2,Haryana Circle,121101,123999
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123001,123001
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123021,123021
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123023,123024
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123027,123029
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123034,123035
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123101,123103
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123106,123106
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123110,123110
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123301,123303
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123401,123401
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123411,123412
25550,NSH Gurgaon,Rewari ICH,L2,Haryana Circle,123501,123501
25550,Rohtak NSH,Hisar ICH,L2,Haryana Circle,125001,125001
25550,Rohtak NSH,Hisar ICH,L2,Haryana Circle,125002,125999
25550,Rohtak NSH,ICH Sonepat,L2,Haryana Circle,131001,131001
25550,Rohtak NSH,ICH Sonepat,L2,Haryana Circle,131002,131999
25550,Chandigarh NSH,Patiala ICH,L2,Punjab Circle,140401,140404
25550,Chandigarh NSH,Patiala ICH,L2,Punjab Circle,140405,140408
25550,Chandigarh NSH,Patiala ICH,L2,Punjab Circle,140409,140412
25550,Chandigarh NSH,Patiala ICH,L2,Punjab Circle,140414,140499
