Sortplan Id,L1 Office Name,L2 Office Name,Hub Level,Circel Name,From Pin,To Pin
7,Hyderabad PH,Hyderabad PH,L1,Telangana Circle,509000,509999
7,Hyderabad PH,Hyderabad PH,L1,Telangana Circle,500000,502999
7,Tirupathi PH,Tirupathi PH,L1,Andhra Pradesh Circle,517000,517999
7,Vijayawada PH,Vijayawada PH,L1,Andhra Pradesh Circle,520000,521999
7,Visakhapatnam PH,Visakhapatnam PH,L1,Andhra Pradesh Circle,535000,535999
7,Visakhapatnam PH,Visakhapatnam PH,L1,Andhra Pradesh Circle,530000,531999
7,Silchar PH,Silchar PH,L1,Assam Circle,788000,788999
7,PH DIBRUGARH,PH DIBRUGARH,L1,Assam Circle,786000,786999
7,PH DIBRUGARH,PH DIBRUGARH,L1,Assam Circle,792000,792999
7,Guwahati PH,Guwahati PH,L1,Assam Circle,780000,780999
7,Guwahati PH,Guwahati PH,L1,Assam Circle,794000,794999
7,Guwahati PH,Guwahati PH,L1,Assam Circle,781000,783999
7,Muzaffarpur PH,Muzaffarpur PH,L1,Bihar Circle,845000,845999
7,Muzaffarpur PH,Muzaffarpur PH,L1,Bihar Circle,848000,848999
7,Muzaffarpur PH,Muzaffarpur PH,L1,Bihar Circle,842000,843999
7,Muzaffarpur PH,Muzaffarpur PH,L1,Bihar Circle,846000,847999
7,Patna PH,Patna PH,L1,Bihar Circle,844000,844999
7,Patna PH,Patna PH,L1,Bihar Circle,800000,801999
7,Patna PH,Patna PH,L1,Bihar Circle,802101,802131
7,Patna PH,Patna PH,L1,Bihar Circle,802133,802199
7,Patna PH,Patna PH,L1,Bihar Circle,802201,802210
7,Patna PH,Patna PH,L1,Bihar Circle,802222,802225
7,Patna PH,Patna PH,L1,Bihar Circle,802227,802999
7,Patna PH,Patna PH,L1,Bihar Circle,803000,804999
7,Raipur PH,Raipur PH,L1,Chhattisgarh Circle,492000,494999
7,Integrated Parcel Hub AMPC,Integrated Parcel Hub AMPC,L1,Delhi Circle,110000,110999
7,1 CBPO PH,1 CBPO PH,L1,APS CIRCLE,900000,909999
7,Ahmedabad PH,Ahmedabad PH,L1,Gujarat Circle,380000,380999
7,Ahmedabad PH,Ahmedabad PH,L1,Gujarat Circle,382000,382999
7,Ahmedabad PH,Ahmedabad PH,L1,Gujarat Circle,383000,383999
7,Ahmedabad PH,Ahmedabad PH,L1,Gujarat Circle,363700,363799
7,Ahmedabad PH,Ahmedabad PH,L1,Gujarat Circle,363000,363599
7,Rajkot PH,Rajkot PH,L1,Gujarat Circle,360000,360499
7,Rajkot PH,Rajkot PH,L1,Gujarat Circle,363621,363650
